"C#","Format","Card Name","Archetype","A+-","A","P","P+-","R","HP","Heroic","Slow","Silence","Disarm","Hidden Types","Mechanics","Flavor","Artist","UUID","Colorpip 1","Colorpip 2","Season tag","CardType","SecondCardUUID"
"1","Skill","Chastise","Knight","-","1","1","+","2","","","","","Disarm","Debuff","{Silence 3} [i] target {Uncontrolled} opponent.","""Chastise the guilty once and they may listen. Again, and they will surely scowl.""","Wasan Techawibulchai","40a8fb12bd474d6dbac54f4455946e1e","White","","S1","Class",""
"2","Skill","Clean thy Blade","Knight","","0","2","-","","","","","Silence","Disarm","Ability Buff","Draw a card for each {Attack} card you've resolved this turn. Become {Chivalrous} [c].","""My blade shall not run red for the likes of you.""","Alexandra Schastlivaya","358d7d5d702743e89d0141637bc77a94","White","","S1","Class",""
"3","Skill","Daring Strike","Knight","-","1","1","+","1","","H","","","","Ability Attack","Deal 4 damage to target enemy. {Stun} them. <(They lose a resource of their choice.)>","Knights have been called unwise. Stupid. But never coward.","Septimius Ferdian","1bd1f8dd00cc417b976e14fa89804359","White","","S1","Class",""
"4","Skill","Enchanted Lake","Knight","-","1","1","+","2","","","","Silence","","Aura","{Attach} to target empty tile. At the start of your turn, you may make a tile {near} {Enchanted Lake} {Enchanted Terrain} [et]. ","Are you worthy of the Lady's blessing?","Dario Marzadori","c62f54326fbd4ab99deb19a2fcba1f78","White","","S1","Class",""
"5","Skill","Enchanted Strike","Knight","-","1","1","+","1","","","","Silence","Disarm","Ability Attack","Deal 5 damage to target enemy. Make a tile {near} you {Enchanted Terrain} [et].","And thus, his strike rang throughout the land, never to be forgotten.","Leo Aveiro","3b4a273e5cf549edb7287699d7f9a2ef","White","","S1","Class",""
"6","Skill","For the King","Knight","-","2","2","+","1","","","","","Disarm","Debuff Attack","Deal 5 damage to target enemy. {Slow 3} [o] them.","There is a pride in Calbrians that transcends wealth or glory.","Septimius Ferdian","05fc6abafd294b57878cacddbc71684d","White","","S1","Class",""
"7","Skill","Have At Thee","Knight","-","2","2","+","1","","","","","Disarm","Buff Attack","Deal 7 damage to target enemy. Become {Chivalrous} [c].","""Have your wits about you, for battle commences!""","Wasan Techawibulchai","d9e79cb16374418fae51fe9d88d6be82","White","","S1","Class",""
"8","Skill","Have Faith","Knight","","0","2","-","","","","","","Disarm","Buff","{Attach} to yourself until your next turn. If you would take damage, instead prevent that damage and put that many cards from the top of your deck into your discard.","The darkest hour comes just before the dawn.","Septimius Ferdian","b4a032c1df7441308c63b9f0ec0c0270","White","","S1","Class",""
"9","Skill","Holy Ground","Knight","-","1","1","+","2","","","","Silence","","Ability","Make two target tiles {Enchanted Terrain} [et]. Draw a card.","There are holy sites in Calbria where it is said that no lies may be told.","Dario Marzadori","68ef0f34e9be4582bf0354af59395f7a","White","","S1","Class",""
"10","Skill","Humble","Knight","","0","1","-","2","","","","Silence","","Ability","Choose one: - {Destroy} target card. - Each player discards down to four cards.","To be in the presence of a knight is to experience humility.","Septimius Ferdian","ee2649775dfb44c7bcb3dfb65f57e0fa","White","","S1","Class",""
"11","Skill","Judgment","Knight","-","1","2","+","2","","","","Silence","","Aura","{Attach} to target opponent. After they dishonor the code of {Chivalry}, deal 2 damage to them.","The Lady watches diligently through the eyes of her chosen.","Wasan Techawibulchai","d75fb695d2fe450886ab950637fae826","White","","S1","Class",""
"12","Skill","Justice","Knight","-","2","2","-","1","","","","","Disarm","Debuff Attack","Deal 10 damage to target enemy. {Slow 2} [o] and {Silence 2} [i] them.","""No wrong shall go unrighted! No darkness shall persist undone!""","Wojciech Depczyński","c2bec13810664cf6aa38f1982edd5bec","White","","S1","Class",""
